City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Novikovo,RU,2021-10-12 21:42:09,51.1537,37.8879,48.36,83,100,7.07,light rain
88,Galle,LK,2021-10-12 21:42:09,6.0367,80.217,80.17,82,88,14.36,overcast clouds
89,Libertador General San Martin,AR,2021-10-12 21:42:10,-23.8064,-64.7876,89.98,38,46,6.31,scattered clouds
90,Upernavik,GL,2021-10-12 21:51:49,72.7868,-56.1549,35.08,93,99,11.43,overcast clouds
91,Dubrovka,RU,2021-10-12 21:42:10,53.6907,33.5071,46.38,90,100,6.33,moderate rain
92,Kununurra,AU,2021-10-12 21:51:49,-15.7667,128.7333,75.18,94,69,0.0,broken clouds
93,Kaitangata,NZ,2021-10-12 21:42:11,-46.2817,169.8464,44.44,79,100,13.18,overcast clouds
94,Zinder,NE,2021-10-12 21:42:11,13.8072,8.9881,86.67,8,9,8.19,clear sky
95,Knyaginino,RU,2021-10-12 21:42:12,55.8228,45.0349,44.19,58,100,8.01,overcast clouds
96,Tanete,ID,2021-10-12 21:42:12,-3.9443,119.7848,74.91,92,99,3.29,overcast clouds
97,Vardo,NO,2021-10-12 21:51:50,70.3705,31.1107,43.32,77,100,20.54,overcast clouds
98,Pevek,RU,2021-10-12 21:42:13,69.7008,170.3133,15.67,92,98,3.58,overcast clouds
99,Bluff,NZ,2021-10-12 21:51:51,-46.6,168.3333,45.64,73,100,17.05,overcast clouds
100,Fortuna,US,2021-10-12 21:51:51,40.5982,-124.1573,67.19,52,1,5.99,clear sky
101,Sola,VU,2021-10-12 21:42:14,-13.8833,167.55,84.87,84,40,0.0,scattered clouds
102,Yeppoon,AU,2021-10-12 21:51:52,-23.1333,150.7333,76.78,75,1,4.83,clear sky
103,Port Hardy,CA,2021-10-12 21:42:14,50.6996,-127.4199,46.58,87,75,11.5,light rain
104,Provideniya,RU,2021-10-12 21:51:52,64.3833,-173.3,33.91,64,0,15.66,clear sky
105,Kirakira,SB,2021-10-12 21:51:53,-10.4544,161.9205,83.21,72,54,6.38,broken clouds
106,Albesti,RO,2021-10-12 21:42:15,47.7,27.0667,48.61,91,98,6.31,overcast clouds
107,Linxi,CN,2021-10-12 21:42:15,39.7,118.4333,50.72,65,49,1.72,scattered clouds
