City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Lisala,CD,2021-10-12 19:25:45,2.15,21.5167,70.07,95,24,0.63
104,Vao,NC,2021-10-12 19:25:45,-22.6667,167.4833,68.16,96,100,10.0
105,Mahebourg,MU,2021-10-12 19:25:46,-20.4081,57.7,73.69,94,75,6.91
106,Yellowknife,CA,2021-10-12 19:25:46,62.456,-114.3525,43.41,77,40,4.0
107,Taoudenni,ML,2021-10-12 19:25:46,22.6783,-3.9836,95.36,7,23,4.52
108,Marienburg,PL,2021-10-12 19:25:47,54.0359,19.0266,47.05,78,99,6.58
109,Buraydah,SA,2021-10-12 19:23:21,26.326,43.975,82.85,14,0,12.21
110,Nizwa,OM,2021-10-12 19:25:47,22.9333,57.5333,81.88,33,8,3.67
111,Harsin,IR,2021-10-12 19:25:47,34.2721,47.5861,59.81,15,58,3.18
112,Adrar,MR,2021-10-12 19:25:48,20.5022,-10.0711,91.65,9,13,6.44
113,Towada,JP,2021-10-12 19:25:48,40.6127,141.2067,55.63,82,84,3.83
114,Novo Oriente,BR,2021-10-12 19:25:48,-5.5344,-40.7742,97.63,22,99,8.84
115,Poso,ID,2021-10-12 19:25:49,-1.3959,120.7524,79.03,83,100,1.68
116,Salalah,OM,2021-10-12 19:25:49,17.0151,54.0924,78.89,83,20,3.44
117,Paamiut,GL,2021-10-12 19:25:49,61.994,-49.6678,38.07,81,75,11.63
118,Barrow,US,2021-10-12 19:22:10,71.2906,-156.7887,30.22,86,90,25.32
119,Bariri,BR,2021-10-12 19:25:50,-22.0744,-48.7403,89.94,29,0,3.62
120,Sukhumi,GE,2021-10-12 19:25:50,43.0033,41.0153,64.72,55,0,3.94
121,Sur,OM,2021-10-12 19:25:50,22.5667,59.5289,80.98,55,0,1.52
122,Port Elizabeth,ZA,2021-10-12 19:25:51,-33.918,25.5701,59.29,94,40,4.61
123,Georgetown,MY,2021-10-12 19:25:21,5.4112,100.3354,82.33,86,20,3.44
124,Sawtell,AU,2021-10-12 19:25:51,-30.3833,153.1,62.19,96,90,5.75
125,Castro,BR,2021-10-12 19:25:52,-24.7911,-50.0119,71.47,60,87,4.59
126,Broome,US,2021-10-12 19:25:52,42.2506,-75.833,74.17,64,1,1.99
127,Sisimiut,GL,2021-10-12 19:25:52,66.9395,-53.6735,34.56,74,74,5.7
128,Saint-Francois,FR,2021-10-12 19:25:53,46.4154,3.9054,45.84,87,0,3.44
129,Luba,GQ,2021-10-12 19:25:53,3.4568,8.5547,79.92,89,39,8.84
